INCNO,CAD_CODE,PRIORITY,Inc_Type,IncDesc,ZONE,ZIP,INC_DATE,ActionCode,ActionDesc,FixPropUse,PropLoss,PropValue,PropSaved,IncTypeDesc,Civ_Inj,Civ_Fatal,FS_Inj,FS_Fatal,ObjectId
2019000305,4B1A,2,300,"RESCUE, EMS INCIDENT, OTHER",52,68510,42:07.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,15
2019000001,FIREC,3,700,"FALSE ALARM OR FALSE CALL, OTHER",303,68516,07:09.0,93,CANCELLED EN ROUTE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,16
2019000261,10D4,4,300,"RESCUE, EMS INCIDENT, OTHER",161,68506,42:16.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,17
2019000357,6C1,3,300,"RESCUE, EMS INCIDENT, OTHER",32,68521,50:17.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,18
2019000056,20A1C,1,300,"RESCUE, EMS INCIDENT, OTHER",52,68510,15:58.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,19
2019000002,STILL,1,151,"OUTSIDE RUBBISH, TRASH OR WASTE FIRE",82,68512,26:27.0,10,"FIRE CONTROL OR EXTINGUISHMENT, OTHER","RESIDENTIAL STREET, ROAD OR RESIDENTIAL DRIVEWAY",0,0,0,"OUTSIDE RUBBISH, TRASH OR WASTE FIRE",0,0,0,0,20
2019000306,OMEGAD,14,300,"RESCUE, EMS INCIDENT, OTHER",62,68502,01:16.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,21
2019000358,17B1G,2,300,"RESCUE, EMS INCIDENT, OTHER",5,68528,37:37.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,22
2019000262,MEDLE,2,300,"RESCUE, EMS INCIDENT, OTHER",71,68502,51:12.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,23
2019000307,26A1,1,300,"RESCUE, EMS INCIDENT, OTHER",24,68521,29:47.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,24
2019000003,23C2I,3,300,"RESCUE, EMS INCIDENT, OTHER",51,68510,55:59.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,25
2019000057,12A1E,1,300,"RESCUE, EMS INCIDENT, OTHER",151,68510,25:22.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,26
2019000359,STILL,1,400,"HAZARDOUS CONDITION, OTHER",3,68508,53:02.0,93,CANCELLED EN ROUTE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,27
2019000263,28C4L,3,300,"RESCUE, EMS INCIDENT, OTHER",61,68502,05:08.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,28
2019000004,SWAT,1,300,"RESCUE, EMS INCIDENT, OTHER",27,68524,04:30.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,29
2019000308,17A1,1,300,"RESCUE, EMS INCIDENT, OTHER",161,68506,56:36.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,30
2019000058,26O11,1,300,"RESCUE, EMS INCIDENT, OTHER",32,68521,33:29.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,31
2019000360,6D1E,4,300,"RESCUE, EMS INCIDENT, OTHER",53,68508,10:53.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,32
2019000059,RSALARM,7,300,"RESCUE, EMS INCIDENT, OTHER",02WO13,0,21:14.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,33
2019000264,12D3E,4,300,"RESCUE, EMS INCIDENT, OTHER",151,68510,17:39.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,34
2019000005,26A11,1,300,"RESCUE, EMS INCIDENT, OTHER",162,68506,09:29.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,35
2019000309,1C5,3,300,"RESCUE, EMS INCIDENT, OTHER",3,68508,13:48.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,36
2019000006,MEDLE,2,300,"RESCUE, EMS INCIDENT, OTHER",2,68503,30:06.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,37
2019000361,RSALARM,7,322,MOTOR VEHICLE ACCIDENT WITH INJURIES,41,68504,19:01.0,86,INVESTIGATE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,38
2019000265,30B1,2,300,"RESCUE, EMS INCIDENT, OTHER",302,68516,28:32.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,39
2019000060,8B1G,2,412,GAS LEAK (NATURAL GAS OR LPG),53,68508,01:24.0,93,CANCELLED EN ROUTE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,40
2019000061,10D4,4,300,"RESCUE, EMS INCIDENT, OTHER",93,68512,13:47.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,41
2019000062,26C1,3,300,"RESCUE, EMS INCIDENT, OTHER",212,68512,20:19.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,42
2019000063,17B1,2,300,"RESCUE, EMS INCIDENT, OTHER",61,68502,38:50.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,43
2019000064,OMEGAD,14,300,"RESCUE, EMS INCIDENT, OTHER",152,68510,42:58.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,44
2019000065,26C1,3,300,"RESCUE, EMS INCIDENT, OTHER",152,68510,10:26.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,45
2019000066,SUSPART,1,611,DISPATCHED & CANCELED EN ROUTE,151,68510,37:38.0,93,CANCELLED EN ROUTE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,46
2019000266,6D2,4,300,"RESCUE, EMS INCIDENT, OTHER",31,68504,31:59.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,47
2019000067,LIFTASST,1,300,"RESCUE, EMS INCIDENT, OTHER",17,68528,46:10.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,48
2019000267,26A5,1,300,"RESCUE, EMS INCIDENT, OTHER",53,68508,34:13.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,49
2019000068,26D1,4,300,"RESCUE, EMS INCIDENT, OTHER",33,68521,42:40.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,50
2019000268,9B1A,2,300,"RESCUE, EMS INCIDENT, OTHER",201,68516,44:59.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,51
2019000069,12C4,3,300,"RESCUE, EMS INCIDENT, OTHER",22,68521,10:21.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,52
2019000269,AMMO,1,471,"EXPLOSIVE, BOMB REMOVAL (FOR BOMB SCARE, USE 721)",02MC01,68524,57:15.0,81,INCIDENT COMMAND,NULL,NULL,NULL,NULL,NULL,0,0,0,0,53
2019000070,FIREA,1,743,"SMOKE DETECTOR ACTIVATION, NO FIRE - UNINTENTIONAL",32,68521,11:55.0,86,INVESTIGATE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,54
2019000270,26A5,1,300,"RESCUE, EMS INCIDENT, OTHER",63,68502,58:36.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,55
2019000071,28C1U,3,300,"RESCUE, EMS INCIDENT, OTHER",301,68516,23:50.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,56
2019000271,17B1G,2,300,"RESCUE, EMS INCIDENT, OTHER",122,68507,03:44.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,57
2019000072,23D1I,4,300,"RESCUE, EMS INCIDENT, OTHER",422,0,38:38.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,58
2019000272,17B3G,2,300,"RESCUE, EMS INCIDENT, OTHER",91,68516,09:57.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,59
2019000073,1A1,1,300,"RESCUE, EMS INCIDENT, OTHER",304,68526,52:35.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,60
2019000273,26D1,4,300,"RESCUE, EMS INCIDENT, OTHER",181,68516,13:23.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,61
2019000074,HAZ2,3,300,"RESCUE, EMS INCIDENT, OTHER",02CE28,0,55:40.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,62
2019000274,31C2,3,300,"RESCUE, EMS INCIDENT, OTHER",153,68510,22:49.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,63
2019000075,29B1,2,300,"RESCUE, EMS INCIDENT, OTHER",51,68510,43:06.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,64
2019000275,23C1A,3,300,"RESCUE, EMS INCIDENT, OTHER",121,68504,27:50.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,65
2019000276,17B1G,2,300,"RESCUE, EMS INCIDENT, OTHER",111,68504,34:05.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,66
2019000277,9.00E+01,5,300,"RESCUE, EMS INCIDENT, OTHER",17,68528,54:17.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,67
2019000278,1C3,3,300,"RESCUE, EMS INCIDENT, OTHER",172,68506,55:28.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,68
2019000279,FIREA,1,700,"FALSE ALARM OR FALSE CALL, OTHER",24,68521,16:58.0,86,INVESTIGATE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,69
2019000280,17B3G,2,300,"RESCUE, EMS INCIDENT, OTHER",104,68527,28:16.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,70
2019000281,23C5I,3,300,"RESCUE, EMS INCIDENT, OTHER",302,68516,28:35.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,71
2019000282,29A2,1,300,"RESCUE, EMS INCIDENT, OTHER",191,68516,32:01.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,72
2019000283,19D4,4,300,"RESCUE, EMS INCIDENT, OTHER",52,68510,34:21.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,73
2019000284,17A2G,1,300,"RESCUE, EMS INCIDENT, OTHER",13,68508,52:18.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,74
2019000285,29B5,2,300,"RESCUE, EMS INCIDENT, OTHER",31,68504,58:13.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,75
2019000286,13C1,3,300,"RESCUE, EMS INCIDENT, OTHER",201,68516,20:54.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,76
2019000287,30B1,2,300,"RESCUE, EMS INCIDENT, OTHER",124,68507,22:06.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,77
2019000288,FIREA,1,743,"SMOKE DETECTOR ACTIVATION, NO FIRE - UNINTENTIONAL",21,68504,29:41.0,86,INVESTIGATE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,78
2019000289,23C2I,3,300,"RESCUE, EMS INCIDENT, OTHER",52,68510,31:32.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,79
2019000290,26A10,1,300,"RESCUE, EMS INCIDENT, OTHER",4,68528,38:03.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,80
2019000291,29A2,1,300,"RESCUE, EMS INCIDENT, OTHER",NULL,0,48:09.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,81
2019000292,21A1M,1,300,"RESCUE, EMS INCIDENT, OTHER",2,68503,04:15.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,82
2019000293,13A1,1,300,"RESCUE, EMS INCIDENT, OTHER",111,68504,06:19.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,83
2019000294,17D4,4,300,"RESCUE, EMS INCIDENT, OTHER",23,68521,22:01.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,84
2019000295,6D2A,4,300,"RESCUE, EMS INCIDENT, OTHER",52,68510,22:50.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,85
2019000296,26A5,1,300,"RESCUE, EMS INCIDENT, OTHER",91,68516,43:26.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,86
2019000297,1A1,1,300,"RESCUE, EMS INCIDENT, OTHER",52,68510,54:15.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,87
2019000298,28C1J,3,300,"RESCUE, EMS INCIDENT, OTHER",63,68502,06:36.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,88
2019000299,6D4O,4,300,"RESCUE, EMS INCIDENT, OTHER",304,68526,12:20.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,89
2019000300,6C1O,3,300,"RESCUE, EMS INCIDENT, OTHER",122,68507,20:24.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,90
2019000301,26A10,1,300,"RESCUE, EMS INCIDENT, OTHER",301,68516,03:16.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,91
2019000303,4D2A,4,300,"RESCUE, EMS INCIDENT, OTHER",53,68508,51:45.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,92
2019000203,CODET,1,424,CARBON MONOXIDE INCIDENT,62,68502,59:53.0,86,INVESTIGATE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,93
2019000101,26A3,1,300,"RESCUE, EMS INCIDENT, OTHER",91,68516,28:14.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,94
2019000362,17B3G,2,300,"RESCUE, EMS INCIDENT, OTHER",152,68510,22:24.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,95
2019000152,26A4,1,300,"RESCUE, EMS INCIDENT, OTHER",52,68510,28:00.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,96
2019000007,MEDLE,2,300,"RESCUE, EMS INCIDENT, OTHER",93,68512,40:43.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,97
2019000310,26A1,1,300,"RESCUE, EMS INCIDENT, OTHER",65,68522,38:17.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,98
2019000076,21D4M,4,300,"RESCUE, EMS INCIDENT, OTHER",171,68506,44:02.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,99
2019000102,LIFTASST,1,300,"RESCUE, EMS INCIDENT, OTHER",163,68506,50:08.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,100
2019000077,26C1,3,300,"RESCUE, EMS INCIDENT, OTHER",191,68516,44:38.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,101
2019000103,MEDLE,2,300,"RESCUE, EMS INCIDENT, OTHER",161,68506,15:50.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,102
2019000078,LIFTASST,1,300,"RESCUE, EMS INCIDENT, OTHER",02WA14,0,47:27.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,103
2019000104,32B1,2,300,"RESCUE, EMS INCIDENT, OTHER",02WA14,0,21:25.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,104
2019000311,26A11,1,300,"RESCUE, EMS INCIDENT, OTHER",52,68510,45:37.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,105
2019000079,ECHO,5,300,"RESCUE, EMS INCIDENT, OTHER",21,68504,50:54.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,106
2019000204,ALS,3,300,"RESCUE, EMS INCIDENT, OTHER",NULL,0,01:38.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,107
2019000105,FIREA,1,611,DISPATCHED & CANCELED EN ROUTE,34,68521,44:40.0,93,CANCELLED EN ROUTE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,108
2019000312,LIFTASST,1,300,"RESCUE, EMS INCIDENT, OTHER",34,68521,47:24.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,109
2019000008,MEDLE,2,300,"RESCUE, EMS INCIDENT, OTHER",14,68528,49:30.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,110
2019000363,21A1M,1,300,"RESCUE, EMS INCIDENT, OTHER",3,68508,31:28.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,111
2019000153,LIFTASST,1,300,"RESCUE, EMS INCIDENT, OTHER",202,68512,40:32.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,112
2019000009,FIREC,3,111,BUILDING FIRE,52,68510,02:59.0,70,"ASSISTANCE, OTHER",MULTIFAMILY DWELLING,50000,369800,319800,BUILDING FIRE,0,0,0,0,113
2019000364,MEDLE,2,300,"RESCUE, EMS INCIDENT, OTHER",161,68506,41:57.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,114
2019000313,32D1,4,300,"RESCUE, EMS INCIDENT, OTHER",3,68508,04:18.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,115
2019000106,6C1,3,300,"RESCUE, EMS INCIDENT, OTHER",61,68502,28:29.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,116
2019000205,26C1,3,300,"RESCUE, EMS INCIDENT, OTHER",163,68506,17:19.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,117
2019000080,31D3,4,300,"RESCUE, EMS INCIDENT, OTHER",91,68516,27:29.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,118
2019000314,ODOR,1,531,SMOKE OR ODOR REMOVAL,61,68502,10:33.0,86,INVESTIGATE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,119
2019000154,17B1G,2,300,"RESCUE, EMS INCIDENT, OTHER",303,68516,50:59.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,120
2019000206,26C1,3,300,"RESCUE, EMS INCIDENT, OTHER",161,68506,34:51.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,121
2019000107,6D1A,4,300,"RESCUE, EMS INCIDENT, OTHER",111,68504,14:24.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,122
2019000365,30A1,1,300,"RESCUE, EMS INCIDENT, OTHER",101,68503,47:05.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,123
2019000010,LIFTASST,1,300,"RESCUE, EMS INCIDENT, OTHER",81,68516,40:49.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,124
2019000108,FIREA,1,622,NO INCIDENT FOUND ON ARRIVAL AT DISPATCH ADDRESS,191,68516,22:42.0,86,INVESTIGATE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,125
2019000155,26D1,4,300,"RESCUE, EMS INCIDENT, OTHER",82,68512,40:52.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,126
2019000011,MEDLE,2,300,"RESCUE, EMS INCIDENT, OTHER",102,68527,01:07.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,127
2019000109,ODOR,1,412,GAS LEAK (NATURAL GAS OR LPG),3,68508,45:40.0,86,INVESTIGATE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,128
2019000315,26D1,4,300,"RESCUE, EMS INCIDENT, OTHER",101,68503,53:00.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,129
2019000012,26A1,1,300,"RESCUE, EMS INCIDENT, OTHER",101,68503,47:12.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,130
2019000110,LIFTASST,1,300,"RESCUE, EMS INCIDENT, OTHER",114,68527,45:46.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,131
2019000316,17B1G,2,300,"RESCUE, EMS INCIDENT, OTHER",61,68502,25:36.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,132
2019000207,29A2,1,300,"RESCUE, EMS INCIDENT, OTHER",183,68516,04:30.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,133
2019000081,FIREA,1,520,"WATER PROBLEM, OTHER",34,68521,05:24.0,64,SHUT DOWN SYSTEM,NULL,NULL,NULL,NULL,NULL,0,0,0,0,134
2019000156,8B1M,2,700,"FALSE ALARM OR FALSE CALL, OTHER",153,68510,20:57.0,86,INVESTIGATE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,135
2019000208,ACCLE,1,300,"RESCUE, EMS INCIDENT, OTHER",304,68526,07:25.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,136
