RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId
B9-000669,1546473600000,1736,"HOLDREGE,LANCASTER to N 71",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,117
B9-003084,1547164800000,2010,"PINE LAKE,S 84 to S 88",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,118
B9-003289,1547251200000,9999,"ELKCREST CR,DEAD END to KIRKWOOD",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,119
B9-004287,1547510400000,1820,N 9 at Q,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,120
B9-003758,1547424000000,738,"S 10,E to F",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,121
B9-001620,1546732800000,2202,N 10 at Q,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,122
B9-003290,1547251200000,1220,"N 14,HILLTOP to SUPERIOR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,123
B9-003778,1547424000000,0,"N 10,O to P",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,124
B9-003299,1547251200000,1130,"A,S 37 to S 38",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,125
B9-004293,1547510400000,1840,220 N 66 at -,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,126
B9-003303,1547251200000,1300,"NW 12,KINGBIRD to W HIGHLAND",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,127
B9-003815,1547337600000,9999,3440 N 85 at WALMART,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,128
B9-004310,1547510400000,2000,VINE at N ANTELOPE VALL,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,129
B9-003308,1547251200000,1140,6891 A STREET at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,130
B9-003817,1547424000000,9999,"N 33,APPLE to X",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,131
B9-001628,1546732800000,2232,S 10 at VAN DORN,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,132
B9-003085,1547164800000,2017,S 56 at OLD CHENEY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,133
B9-003862,1547164800000,2330,"N 14,TURTLE CREEK RD to MORTON",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,134
B9-003092,1547164800000,235,"SUMNER,S 22 to S 23",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,135
B9-001638,1546646400000,2230,"O,44 to 45",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,136
B9-003309,1547251200000,1348,"VINE,N 39 to N 40",INJURY,RAN OFF ROAD,2,1,NO,NO,NO,NO,NO,YES,NO,137
B9-004326,1547510400000,2104,N 17 at Q,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,138
B9-004347,1547510400000,2255,S 16 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,139
B9-004395,1547596800000,230,"N 63,DUDLEY to STARR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,140
B9-004398,1547596800000,631,"S 10,H to LINCOLN MALL",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,141
B9-001648,1546819200000,9999,"WARLICK,S 14 to OLD CHENEY",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,142
B9-004401,1547596800000,635,"WARLICK,CREEKSIDE to OLD CHENEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,143
B9-003311,1547251200000,1338,"N 27,CENTER to THERESA/OVERPASS",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,144
B9-003094,1547164800000,2104,"N 70,BALLARD to HAVELOCK",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,145
B9-001668,1546819200000,9999,"BRIARPARK,BODIE to HALLCLIFFE RD",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,146
B9-003866,1547424000000,1305,"CORNHUSKER,HAVELOCK to HWY 77",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,147
B9-004409,1547596800000,750,"S 33,HILLSIDE to SHERIDAN",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,148
B9-003312,1547251200000,1359,S 70 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,YES,149
B9-003095,1547164800000,2100,S 84 at FOXTAIL DR,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,150
B9-001674,1546819200000,546,N 11 at CORNHUSKER,INJURY,TURNING,4,1,NO,NO,NO,NO,NO,NO,NO,151
B9-003872,1547424000000,1328,"S 40,DUXHALL DR to FAULKNER DR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,152
B9-004411,1547596800000,829,S 70 at SOUTH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,153
B9-004429,1547596800000,900,S 58 at OLD CHENEY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,154
B9-004462,1547596800000,1105,"HOLDREGE,NORTHWOODS DR to N 84",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,155
B9-004470,1547596800000,1129,S WEDGEWOOD at S 70,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,156
B9-004491,1547596800000,1235,"N 26,TICONDEROGA to KENSINGTON",NON-INJ,UNKNOWN,2,0,NO,NO,NO,NO,NO,YES,NO,157
B9-004522,1547596800000,1347,"S 70,ALMIRA to NEBR HWY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,158
B9-004523,1547596800000,1415,"OLD CHENEY,S 40 to VILLAGE BLVD",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,159
B9-004547,1547596800000,1505,"MADISON,N 65 to N COTNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,160
B9-004556,1547596800000,1553,"SOUTH,S 24 to S 25",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,YES,NO,161
B9-004568,1547596800000,1632,8300 NORTHERN LI at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,162
B9-004580,1547596800000,1714,"S 48,NEWTON to SOUTH",INJURY,REAR END,4,1,NO,NO,NO,NO,NO,NO,NO,163
B9-004581,1547596800000,1716,"N 48,GLADSTONE to HARTLEY",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,164
B9-004590,1547596800000,1730,"N 27,S to T",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,165
B9-004595,1547596800000,9999,S 13 & S 14 at F & E,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,166
B9-004597,1547596800000,1730,"LAKESIDE DR,SURFSIDE to W LAKESHORE",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,167
B9-004639,1547596800000,9999,6767 S 14 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,168
B9-004660,1547683200000,2238,N ANTELOPE VALL at N 17,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,169
B9-004664,1547596800000,9999,"FLETCHER,TELLURIDE DR to N 27",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,170
B9-004675,1547683200000,10,"N ANTELOPE VALL,VINE to S",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,171
B9-004676,1547683200000,15,"I 80,I 180 to NW 12",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,172
B9-004694,1547683200000,9999,"HOMESTEAD EXP,I 80 to W O",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,173
B9-004703,1547683200000,630,N 68 at BALLARD,INJURY,RIGHT ANGLE,4,1,NO,NO,NO,NO,NO,NO,NO,174
B9-004705,1547683200000,650,"S 40,GERTIE to NEBR HWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,175
B9-004711,,9999,"W,N 69 to N 70",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,176
B9-004713,1547683200000,750,50 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,177
B9-004714,1547683200000,750,"S 48,ANTELOPE CREEK to VAN DORN",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,YES,178
B9-004717,1547683200000,750,"HUSKER CR,WILDCAT DR to DEAD END",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,179
B9-004718,1547683200000,850,N 27 at VINE,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,180
B9-004719,1547683200000,9999,"W VALE,NW 50 to W METZGER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,181
B9-004723,1547683200000,738,"S 48,NEBR HWY to RENTWORTH DR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,182
B9-004752,1547683200000,1015,"NORMAL,S 39 to S 40",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,183
B9-004766,1547510400000,1704,"S 33,HILLSIDE to SHERIDAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,184
B9-004773,1547683200000,1130,S 70 at SOUTH,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,185
B9-004812,1547683200000,1336,N 33 at VINE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,186
B9-004829,1547596800000,9999,"RIDGEWAY,A to BRYAN",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,187
B9-004844,1547683200000,1520,N 48 at HUNTINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,188
B9-004846,1547683200000,1530,W SAUNDERS at N CHESTER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,189
B9-004847,1547683200000,1533,S 38 at PINE LAKE,NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,190
B9-004848,1547683200000,1534,N ANTELOPE VALL at N 17,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,191
B9-004855,1547683200000,1550,W 14 at W O,NON-INJ H&R,DRIVEWAY,1,0,NO,NO,NO,NO,NO,YES,NO,192
